TOKEN	AVERAGE_ATTENTION	REP_POS	DIST_POS	N_OCCURRENCES_TEST	TRUEPOS	FALSEPOS	TRUENEG	FALSENEG
pourrait	0.267968	0.003356	0.041672	30	10	6	13	1
féminisme	0.261286	0.013118	0.261439	98	35	23	26	14
important	0.227213	0.002441	-0.134862	33	6	8	17	2
députées	0.209744	0.000305	-0.405068	21	0	3	17	1
filles	0.201871	0.019524	0.551044	96	61	14	14	7
seins	0.201122	0.006711	0.818422	27	24	3	0	0
sexes	0.200362	0.006406	0.394740	40	21	8	9	2
féministe	0.194664	0.025625	0.177636	213	78	41	79	15
femmes	0.191637	0.117755	0.198270	993	350	208	351	84
connasse	0.188335	0.012813	0.291310	89	40	31	11	7
miss	0.188145	0.005796	0.551659	29	17	4	5	3
égalité	0.179501	0.005796	0.332434	35	18	5	10	2
touche	0.178774	0.005186	0.558665	25	16	3	4	2
sexisme	0.163183	0.036608	-0.167287	659	72	98	425	64
sexistes	0.162850	0.012813	0.217336	107	40	13	45	9
françaises	0.162477	0.002135	-0.226878	49	3	4	34	8
wauquiez	0.161292	0.000000	-0.513150	25	0	6	19	0
stéréotypes	0.159295	0.009152	0.518543	59	41	3	14	1
sexe	0.156932	0.009457	0.176669	75	31	17	25	2
actrice	0.154964	0.001525	-0.114952	21	4	4	12	1
viol	0.152757	0.032032	0.052262	359	115	76	150	18
international	0.147331	0.000610	-0.335132	20	1	1	17	1
acrimed	0.145686	0.000610	-0.408795	38	0	0	36	2
parité	0.144694	0.003356	0.319083	24	9	3	8	4
féministes	0.141299	0.009152	0.092110	83	21	21	32	9
nord	0.140502	0.001830	0.020903	20	6	1	13	0
bite	0.136803	0.006101	0.747808	24	20	4	0	0
annonce	0.136595	0.000610	-0.369040	23	1	0	21	1
grave	0.131359	0.003661	0.112981	31	12	8	9	2
sexiste	0.125981	0.017389	0.250121	124	49	36	29	10
droit	0.123366	0.017694	0.218206	133	51	35	34	13
garçons	0.123279	0.007627	0.599460	40	26	4	7	3
racisme	0.122264	0.002135	-0.313300	58	4	9	42	3
terriens	0.121952	0.000915	-0.210520	21	2	0	18	1
retrouvez	0.120828	0.000000	-0.513150	28	0	0	28	0
pute	0.118938	0.016473	0.945959	66	64	2	0	0
enfant	0.118616	0.003966	-0.033370	45	9	12	20	4
migrants	0.118311	0.000610	-0.396754	31	1	1	27	2
harcèlement	0.118001	0.028676	0.055795	305	71	74	124	36
solidaire	0.117852	0.000610	-0.369040	21	2	2	17	0
états	0.114328	0.002135	-0.134862	29	4	6	16	3
crise	0.113422	0.002135	-0.052626	24	3	2	15	4
public	0.109460	0.005491	-0.059205	66	13	18	30	5
problème	0.108496	0.009152	0.219020	66	29	17	18	2
violences	0.106402	0.013423	-0.019975	157	32	32	78	15
concours	0.106264	0.002441	0.092110	22	8	4	9	1
peut	0.105822	0.042709	0.320870	264	123	62	58	21
figaro	0.105573	0.000610	-0.353871	29	1	2	25	1
pays	0.105554	0.006101	-0.157114	90	17	14	54	5
remarque	0.105517	0.003966	0.522163	22	12	6	1	3
jeu	0.103197	0.005186	0.034160	47	11	4	26	6
européenne	0.102823	0.000305	-0.444370	28	1	1	26	0
taubira	0.102393	0.005186	-0.385805	253	4	11	222	16
entreprises	0.101916	0.001220	-0.317905	37	0	10	23	4
chancelière	0.101248	0.000610	-0.470526	78	0	1	75	2
rue	0.100815	0.018914	0.565187	94	59	20	8	7
theresa	0.100701	0.002135	-0.461481	272	1	1	264	6
tir	0.100507	0.011897	0.380984	70	40	20	9	1
solidarité	0.100291	0.000610	-0.437492	40	1	1	37	1
schiappa	0.099966	0.002135	-0.008766	24	6	3	14	1
chronique	0.099957	0.000915	-0.296985	22	0	1	18	3
dame	0.099379	0.002135	0.016453	22	5	7	8	2
française	0.098370	0.003966	-0.210520	70	7	13	42	8
drague	0.094938	0.006101	0.057850	57	14	12	24	7
no	0.094323	0.002441	0.159361	22	7	3	11	1
féminin	0.093135	0.005796	0.073582	55	17	6	29	3
bébé	0.092709	0.001220	-0.260958	30	4	7	19	0
lire	0.092247	0.002135	-0.357384	69	1	4	58	6
mecs	0.092121	0.013423	0.743050	56	45	8	1	2
mondial	0.091808	0.000305	-0.452624	29	1	1	27	0
situation	0.091565	0.004881	0.198921	36	14	8	12	2
droits	0.090879	0.006101	-0.000218	72	15	11	40	6
dérailler	0.090749	0.000610	-0.437492	71	1	0	69	1
porc	0.089802	0.021354	0.259993	155	69	39	40	7
robe	0.089351	0.009152	0.567672	56	30	6	14	6
match	0.089068	0.000915	-0.489131	207	0	1	202	4
fille	0.088694	0.027761	0.026837	265	67	69	99	30
salope	0.088680	0.019829	0.522163	116	77	34	3	2
abus	0.088529	0.002135	0.301623	21	4	2	11	4
parents	0.088044	0.001830	-0.080821	21	6	4	11	0
cas	0.087532	0.007627	0.228590	55	19	17	13	6
délation	0.086996	0.002135	-0.105763	35	4	7	19	5
jazz	0.086534	0.000610	-0.280357	21	0	2	16	3
femme	0.086364	0.231849	0.263348	1644	725	382	427	110
violence	0.086252	0.008542	0.016453	93	23	22	39	9
marre	0.085949	0.003661	0.213162	29	13	8	6	2
jeunes	0.085736	0.006711	0.070873	64	21	14	26	3
social	0.085500	0.003051	0.283245	22	10	4	8	0
festival	0.085498	0.000915	-0.331572	36	1	4	28	3
handball	0.085393	0.000000	-0.513150	20	0	0	20	0
berlin	0.084069	0.000305	-0.468645	40	1	1	38	0
élu	0.081776	0.001830	0.020903	20	4	3	11	2
fesses	0.078652	0.006711	0.767208	26	22	4	0	0
rend	0.077995	0.003966	0.189384	29	10	6	10	3
excuses	0.077956	0.001220	-0.176894	23	3	0	19	1
pensent	0.077479	0.004576	0.518543	25	14	7	1	3
commentaires	0.076616	0.005491	0.459589	35	17	1	14	3
bravo	0.076382	0.007932	-0.155496	113	14	19	68	12
bardot	0.075640	0.002135	0.075297	23	8	12	3	0
accident	0.075416	0.003051	0.327489	25	12	8	5	0
>>	0.075404	0.000915	-0.424141	56	0	2	51	3
monde	0.074521	0.026846	-0.108417	372	65	58	218	31
pôles	0.074296	0.000915	-0.260958	20	1	0	17	2
va	0.074090	0.036608	0.164380	291	111	66	95	19
certain	0.073224	0.003966	0.342109	23	12	4	6	1
merkel	0.071372	0.006406	-0.434105	525	4	13	489	19
1er	0.071121	0.001525	-0.290628	38	3	3	30	2
gros	0.070558	0.011897	0.263335	85	39	18	24	4
trouve	0.070459	0.006711	0.103319	55	17	20	12	6
an	0.070367	0.000610	-0.418578	36	1	4	30	1
raison	0.070124	0.005796	0.009575	57	13	12	26	6
anglais	0.069536	0.000610	-0.381571	31	1	3	26	1
collectif	0.069183	0.000610	-0.486368	116	0	2	112	2
québécoises	0.068221	0.000610	-0.405068	33	2	0	31	0
grossesse	0.068066	0.000000	-0.513150	21	0	0	21	0
porter	0.067611	0.007016	0.356911	41	21	9	9	2
on	0.067517	0.118060	0.185644	999	353	236	315	95
doit	0.067505	0.016473	0.243425	115	42	27	30	16
présente	0.067310	0.002441	-0.231633	48	4	4	36	4
jupe	0.066870	0.006406	0.868422	23	20	2	0	1
créatrice	0.066625	0.001220	-0.424141	105	1	1	99	4
mec	0.066313	0.024405	0.618177	110	76	23	4	7
explique	0.065910	0.000610	-0.401064	30	1	5	23	1
veulent	0.065265	0.005186	0.146428	44	14	6	20	4
deneuve	0.065200	0.012813	-0.229434	299	31	45	202	21
victimes	0.064716	0.019829	0.065408	187	49	36	83	19
maire	0.064402	0.002441	0.159361	20	6	2	10	2
hashtag	0.064229	0.020439	0.072868	204	61	38	93	12
réponse	0.063893	0.003356	-0.166386	53	4	12	29	8
!!!!	0.063628	0.003356	0.081302	37	11	7	16	3
vient	0.063493	0.010982	0.194297	78	31	17	24	6
société	0.063189	0.011287	0.195541	84	34	16	27	7
démission	0.063077	0.000305	-0.441095	27	0	1	25	1
solidaires	0.063022	0.000000	-0.513150	25	0	1	24	0
porcs	0.062735	0.009152	0.297466	59	21	16	11	11
présence	0.062004	0.001525	-0.269093	31	4	3	23	1
bei	0.061095	0.002135	-0.089468	25	4	2	16	3
sait	0.060950	0.007016	0.260238	45	18	13	9	5
ménage	0.059975	0.006711	0.634757	30	19	5	3	3
